,0,1,vars,t
0,0.0,0.0,0,0
1,-0.0,0.0,1,0
0,0.0,9.34322954493162,0,1
1,5.269701266133104,0.0,1,1
0,0.0,1.5518242899686974,0,2
1,0.2774492638187307,0.0,1,2
0,0.0,2.1746537605375726,0,3
1,0.4969888545800342,0.0,1,3
0,0.0,1.8731626652895172,0,4
1,0.3792809269933944,0.0,1,4
0,0.0,1.9142419438842482,0,5
1,0.38885501931541494,0.0,1,5
0,0.0,2.125091659340652,0,6
1,0.41554960561970034,0.0,1,6
0,0.0,2.122295306215194,0,7
1,0.3808237579982025,0.0,1,7
0,0.0,2.1179242705137424,0,8
1,0.36389162412808385,0.0,1,8
0,0.0,2.1188426418394797,0,9
1,0.3645799526085316,0.0,1,9
0,0.0,2.118914344059224,0,10
1,0.36458923078538236,0.0,1,10
0,0.0,2.118914344059224,0,11
1,0.36458923078538236,0.0,1,11
0,0.0,2.118914344059224,0,12
1,0.36458923078538236,0.0,1,12
0,0.0,-3.7426422282135547,0,13
1,1.297576025577942,0.0,1,13
0,0.0,1.4312004332614365,0,14
1,0.1747278256536261,0.0,1,14
0,0.0,1.7055836926964718,0,15
1,0.2433230654393504,0.0,1,15
0,0.0,1.7432372727168401,0,16
1,0.2537420094288631,0.0,1,16
0,0.0,1.7731806225206936,0,17
1,0.26249150893823076,0.0,1,17
0,0.0,1.6598088525516888,0,18
1,0.23256101873332297,0.0,1,18
0,0.0,1.6872689929334563,0,19
1,0.239867345968041,0.0,1,19
0,0.0,1.69032501049794,0,20
1,0.24067757627845612,0.0,1,20
0,0.0,1.690336270010685,0,21
1,0.24067223812858857,0.0,1,21
0,0.0,1.6903812987224065,0,22
1,0.2406508849333005,0.0,1,22
0,0.0,1.6907608311445683,0,23
1,0.2405949387646441,0.0,1,23
0,0.0,1.6907608311445683,0,24
1,0.2405949387646441,0.0,1,24
0,0.0,2.118914344059224,0,25
1,0.36458923078538236,0.0,1,25
0,0.0,-3.6763963166882982,0,26
1,1.7607001519260308,0.0,1,26
0,0.0,0.0716275664424815,0,27
1,0.0005160856790729744,0.0,1,27
0,0.0,0.47210033586213584,0,28
1,0.021583965787209856,0.0,1,28
0,0.0,1.9276061967182885,0,29
1,0.3056531792875442,0.0,1,29
0,0.0,1.005316480393343,0,30
1,0.09220847143386211,0.0,1,30
0,0.0,1.1371971737753752,0,31
1,0.11494054458260558,0.0,1,31
0,0.0,1.1018532217722918,0,32
1,0.10776771529735472,0.0,1,32
0,0.0,1.0712522822216546,0,33
1,0.09998745047814617,0.0,1,33
0,0.0,1.0746851107029787,0,34
1,0.10009999309651023,0.0,1,34
0,0.0,1.1605715031990615,0,35
1,0.11240129803471309,0.0,1,35
0,0.0,0.4664770161597513,0,36
1,0.017123464262083016,0.0,1,36
0,0.0,1.0638885067260266,0,37
1,0.09371912476015774,0.0,1,37
0,0.0,1.0977096677863518,0,38
1,0.09820327142739406,0.0,1,38
0,0.0,1.0856883345958614,0,39
1,0.09606507264416536,0.0,1,39
0,0.0,1.0810523246141692,0,40
1,0.0953056108313514,0.0,1,40
0,0.0,1.0780918316343902,0,41
1,0.09490918100581539,0.0,1,41
0,0.0,1.071461292802367,0,42
1,0.09428015499639025,0.0,1,42
0,0.0,1.0664225765041284,0,43
1,0.09427746634693981,0.0,1,43
0,0.0,1.0664435289793865,0,44
1,0.09523829748681939,0.0,1,44
0,0.0,1.0700177486595857,0,45
1,0.09616526865611812,0.0,1,45
0,0.0,1.0717281504986649,0,46
1,0.09642649402014486,0.0,1,46
0,0.0,1.0719464185335876,0,47
1,0.09643892656939314,0.0,1,47
0,0.0,1.0719504248807017,0,48
1,0.09643679355137191,0.0,1,48
0,0.0,1.0719504248807017,0,49
1,0.09643679355137191,0.0,1,49
0,0.0,2.118914344059224,0,50
1,0.36458923078538236,0.0,1,50
0,0.0,-4.253857725268451,0,51
1,1.7995175499156812,0.0,1,51
0,0.0,-0.20943420583419473,0,52
1,0.004204478235158802,0.0,1,52
0,0.0,-0.14144472134377203,0,53
1,0.0019134317974801851,0.0,1,53
0,0.0,0.13258141997871092,0,54
1,0.0016639725713830042,0.0,1,54
0,0.0,1.824072355948977,0,55
1,0.2758217070559223,0.0,1,55
0,0.0,0.4778849461803476,0,56
1,0.021107784372656962,0.0,1,56
0,0.0,0.6945355227010097,0,57
