,0,1,2,vars,t
0,-5.615679665946937,4.6149090770526735,-1.3655683858819907,0,0
1,2.665961628440245,-2.6263959840765367,0.7755357822296222,1,0
2,-2.7149973141739303,2.635943185325503,-0.7932883241321921,2,0
0,-3.6897732519567534,1.1099294606574361,-0.3605362201807428,0,1
1,1.5700341515097291,-0.9527821780941989,0.29555119685149256,1,1
2,-1.6139162378063732,0.965765175111316,-0.3193637437937027,2,1
0,-5.021934016994453,3.534344423555225,-1.055722865296147,0,2
1,2.328093616646874,-2.1104306660785466,0.6275593504246773,1,2
2,-2.3755404779081095,2.121037103006471,-0.647180156329475,2,2
0,-2.286001537506576,0.20941417605759918,-0.6808053176556751,0,3
1,0.7709385549891854,-0.4849379457336046,0.45491997378294247,1,3
2,-0.8136950780369694,0.4948713207234181,-0.47663955907459526,2,3
0,-3.9629756875436475,2.2474111359729187,-0.9106088820718733,0,4
1,1.7253878352901793,-1.481274402692565,0.5607382913318076,1,4
2,-1.7710192742936257,1.4916203271440525,-0.5811714418138381,2,4
0,-2.5651407643990356,1.5048034475377399,-1.0303239309079055,0,5
1,0.9298555969953552,-1.063188043676235,0.6194823817988855,1,5
2,-0.9726767159931772,1.067665608496426,-0.6391540653647222,2,5
0,-0.17701306265525854,1.1351671384015298,-0.6599266689329807,0,6
1,-0.42880869577353364,-0.7063762729167012,0.45155176311687106,1,6
2,0.3950239157038002,0.6924838512321653,-0.4732306286786937,2,6
0,-0.31885356508525725,0.9855981360695301,-0.5430383490672024,0,7
1,-0.3480408972228005,-0.6320760108226803,0.39385969327288967,1,7
2,0.31437433250032987,0.6180308346902619,-0.4162905001009032,2,7
0,-0.7532967913299687,0.18834246140830385,0.04900580307738654,0,8
1,-0.10052643323994356,-0.21379949300170215,0.09877112836529477,1,8
2,0.06842399686557094,0.19663065711814592,-0.12508311356466642,2,8
0,-0.7842248921843357,0.29969632787619604,-0.04392987265174596,0,9
1,-0.08290606008956126,-0.26423127376516453,0.1397683552306964,1,9
2,0.05091284746293289,0.24666870584598752,-0.1656054348777012,2,9
0,-0.880954281568723,0.3073756312625667,-0.08433869787761757,0,10
1,-0.027722490463767648,-0.24398725702569413,0.14736153788918693,1,10
2,-0.0032412275938108687,0.22393309956928203,-0.17325031981005015,2,10
0,-0.9459571494247728,0.23402807906098586,-0.11519380119472103,0,11
1,0.009444467759814047,-0.1773109685897738,0.14678300680166706,1,11
2,-0.038951856591646024,0.15404031646346877,-0.17287216151327603,2,11
0,-0.9402920080694194,0.23352659743924048,-0.15507419963039884,0,12
1,0.006340965332758218,-0.16391900709385523,0.15773254864713251,1,12
2,-0.03472840778512453,0.13928245291978736,-0.18378553486181481,2,12
0,-0.9374410119487703,0.3025264010724706,-0.574393027266303,0,13
1,0.00512031848968099,-0.17392570634928312,0.33074689679794683,1,13
2,-0.02980858316793471,0.1468382681114275,-0.3549589771811797,2,13
0,-0.935398844274136,0.30323343137359227,-0.44800268588800696,0,14
1,0.0039044734884488897,-0.18624594440539222,0.2773527230997458,1,14
2,-0.029081316576240853,0.16040267050827467,-0.30215108770881866,2,14
0,-0.9778395587408488,0.29796557146447467,-0.1905556179431297,0,15
1,0.028198737543387815,-0.20690433734989414,0.15595426076190108,1,15
2,-0.05216961188512214,0.18347371519829464,-0.18226574708488294,2,15
0,-1.3537822067576661,1.1248940518611255,0.2681034410906927,0,16
1,0.24347788434157214,-0.6426188442995315,-0.0715162350616846,1,16
2,-0.25604063767590596,0.6226224417715959,0.042226643761331346,2,16
0,-1.1473905640730455,0.6709122321551436,0.016300680415512504,0,17
1,0.1252901315611723,-0.4034125895549743,0.05336454008573749,1,17
2,-0.1441159168954216,0.38153080841089276,-0.08101915865392165,2,17
0,-1.5245354695602726,1.0863469641868067,0.13742365137169268,0,18
1,0.34107879541367897,-0.6207080987063663,-0.026514310858203684,1,18
2,-0.35010442363000743,0.6003853881606174,-0.0024265795288236896,2,18
0,-1.278740383413098,0.8155974080809505,0.0584846795138736,0,19
1,0.2004437438737688,-0.47909099712505004,0.025544801603460763,1,19
2,-0.21585638787105627,0.4577521999599377,-0.053647395389045796,2,19
0,-1.7261173911223757,1.1452314096781102,0.1344709065023165,0,20
1,0.45637896563196106,-0.6541789049954265,-0.038529165611500577,1,20
2,-0.4605130016751294,0.6343546618527302,0.009267332834863922,2,20
0,-1.3634836406520958,0.8780374944302723,0.07287817821706816,0,21
1,0.24892362540596594,-0.5122565808730172,0.013407752554330474,1,21
2,-0.26219984764110765,0.4912046742698079,-0.04172993225141148,2,21
0,-1.8006746827250826,1.2068092709775164,0.13668580843339184,0,22
1,0.49909995244972694,-0.6891806894233952,-0.044351245393028524,1,22
2,-0.5007268075025524,0.6698777139321347,0.014955842934895103,2,22
0,-1.3731044206567844,0.8852724115020247,0.07428232220414706,0,23
1,0.2544289792976101,-0.5161499541631409,0.012136714131613052,1,23
2,-0.2674488467860413,0.4951365343536958,-0.04048251105568744,2,23
