,0,1,2,vars,t
0,1.6487145519772455,4.2539951311456505,-1.888694593754177,0,0
1,-0.8943769032560526,-2.124962879731052,0.9571393460868648,1,0
2,0.8855971206574869,2.1163277645729237,-0.9624330371183172,2,0
0,1.1259481861223237,0.22519757224758896,-1.5769674865384278,0,1
1,-0.6292108160562225,-0.13851380370928082,0.8030247339573652,1,1
2,0.6216395289337885,0.13565909910857796,-0.808828439513678,2,1
0,1.077578502161423,0.7833511672257536,-1.4955010662255313,0,2
1,-0.6046792897542373,-0.4136286336188015,0.762755422886364,1,2
2,0.5972034404403944,0.4099453536587976,-0.7686918908138384,2,2
0,1.0308594394465556,0.9019440457144406,-1.3462737718539173,0,3
1,-0.5809914540324603,-0.47197497984773085,0.688988533834712,1,3
2,0.5735756104234997,0.4680821825983686,-0.6951684210179009,2,3
0,0.8288255185078867,1.111407967745372,-0.7319929151366636,0,4
1,-0.4785571327838611,-0.5746163462445436,0.38533733805670434,1,4
2,0.4713891238336408,0.5702259958234841,-0.3925189605204975,2,4
0,0.553299540801547,1.111621832904555,-0.12479482661845266,0,5
1,-0.33886046999854924,-0.5736281583362195,0.08520766515509114,1,5
2,0.33203404742510817,0.5688994812793716,-0.09337790971153806,2,5
0,0.22781972154216462,0.92926143154213,0.18225167310989843,0,6
1,-0.17383170576597012,-0.48206267810386955,-0.0665050963456289,1,6
2,0.16743139273988947,0.47708554306791157,0.05783923259661502,2,6
0,-0.10447002509211654,0.6394599702934055,0.2184606037528437,0,7
1,-0.005340125545390814,-0.3370815338835776,-0.08429620289387679,1,7
2,-0.0005762156030834585,0.33187394394943615,0.07557955425616206,2,7
0,-0.24227728095188117,0.4650515974189507,0.0689639589143263,0,8
1,0.06455128085475649,-0.24981721457673442,-0.010327415281584663,1,8
2,-0.07019541937352339,0.24446730415873608,0.0018599005523274596,2,8
0,-0.2844261288972108,0.3850309489705543,-0.06065746799485187,0,9
1,0.08595266150678887,-0.20944600149986042,0.05378888482701625,1,9
2,-0.09139150742743549,0.20392777708217721,-0.06204180810957082,2,9
0,-0.30444542916698747,0.29397163128445886,-0.20063430661102047,0,10
1,0.09618167177735415,-0.16283070298793795,0.12304561564119228,1,10
2,-0.10120826604047863,0.15691232813910602,-0.13106540726143204,2,10
0,-0.2728848796722004,0.15204637113363423,-0.3231092979597835,0,11
1,0.08036734319169594,-0.08932819246894086,0.18369421603444863,1,11
2,-0.08451220616501931,0.08252410537138719,-0.19150608855651371,2,11
0,-0.25616397848892486,-0.003460317766532271,-0.34192724657124185,0,12
1,0.07213838625546806,-0.007459760059344398,0.19306812838787618,1,12
2,-0.07508147084499793,-0.0007265376986271639,-0.20084380233842863,2,12
0,-0.26763849387394434,0.21372021627631343,-0.2846011961783926,0,13
1,0.07802266160969193,-0.11212739397229435,0.16432418702196538,1,13
2,-0.08062487945874863,0.10288277363769605,-0.1722245387005081,2,13
0,-0.2546611406107884,0.0453901086424631,-0.16842818503933313,0,14
1,0.07155635867509386,-0.02508898651251422,0.10627268163953546,1,14
2,-0.07361730999197173,0.01483685146095036,-0.11441042898545639,2,14
0,-0.148578731839368,0.1483832960551853,-0.19476307327314166,0,15
1,0.017730927713047136,-0.07722716999328555,0.11902571227778201,1,15
2,-0.020118568828483358,0.06724640556067894,-0.12714083415211083,2,15
0,0.002025970352962056,0.1545936862570353,-0.21653051976989207,0,16
1,-0.058680449066246886,-0.08225318505267563,0.1291283177122806,1,16
2,0.05585031533359753,0.07287051104739624,-0.1372583901832777,2,16
0,-0.2959032434051249,0.22122849131086134,-0.1394314955554888,0,17
1,0.09229207191000115,-0.11932283740941868,0.0892384751840461,1,17
2,-0.09516054761015594,0.11114717804162864,-0.09763072220689585,2,17
0,-0.31576300825033965,0.14569797214189664,-0.1480480118230447,0,18
1,0.10244095196699675,-0.08286711936954248,0.0929623319292643,1,18
2,-0.10489365415362716,0.0750426259157676,-0.10138161307462164,2,18
0,-0.6666753608755837,-0.03642600758646968,-0.1750496526308672,0,19
1,0.28055320441649684,0.0027032159036646385,0.10369167689907326,1,19
2,-0.28162106474316434,-0.008959564728731455,-0.11226781104264291,2,19
0,-0.4848131198793595,0.057960738405124224,-0.1610559049866233,0,20
1,0.1882455579713913,-0.04164407714304981,0.09813113533924193,1,20
2,-0.19003112014638118,0.03457502880983076,-0.10662597956084517,2,20
0,-0.9291527124628052,0.5531384072479522,-0.2488774440288847,0,21
1,0.4138360515965145,-0.2821261228490897,0.14010482595373458,1,21
2,-0.41358575815204923,0.27321182356636076,-0.14856681088754756,2,21
0,-0.5532108405042031,0.1341840244198904,-0.17457437867772932,0,22
1,0.22297097028245821,-0.07866176373239758,0.10459219533065915,1,22
2,-0.2244431507867253,0.07130867373142283,-0.11308198148311056,2,22
0,-0.5014178087786717,0.15690547823946724,-0.11288102609341437,0,23
1,0.19675032889278823,-0.09031059667136299,0.07399499295715899,1,23
2,-0.19809333355902464,0.08306267391694992,-0.08259313153973441,2,23
0,-0.44794185562201616,0.21782701977242516,0.05798953567213217,0,24
1,0.16971933323706406,-0.1219927936301312,-0.010962624060533112,1,24
2,-0.1707244051653824,0.11516560866000712,0.00204801815743257,2,24
0,-0.4072969151833776,0.2614140920335449,0.18675338083690896,0,25
1,0.14926508888519532,-0.14514649699588367,-0.07532690550388037,1,25
2,-0.1495665540872669,0.13877063369788778,0.06614755197230907,2,25
0,-0.33091306328206244,0.3362758606782451,-0.09636491228202945,0,26
1,0.11104674332666906,-0.18597653330307076,0.06177559401065294,1,26
2,-0.10893910603126142,0.18070438628818564,-0.070711816623811,2,26
0,-0.26219236802803336,0.27519084248360376,-0.10344807779996686,0,27
1,0.07623419041656343,-0.1549749106685274,0.06560442075915586,1,27
2,-0.07406395115558068,0.14951752445738703,-0.07450396530984245,2,27
0,-0.2064103553066843,0.1838669705035639,-0.11103421856135298,0,28
1,0.04800712246046619,-0.1074700575728134,0.0699758867800551,1,28
2,-0.0456337581979106,0.10137827495272991,-0.07881537388463339,2,28
0,-0.22225932914887192,0.1456173829891358,-0.10963331301664347,0,29
1,0.05606841519008058,-0.0869294985140232,0.06963252315406658,1,29
2,-0.05354975377023711,0.08037299674573402,-0.07844750604721898,2,29
0,-0.2401319712830108,0.14179744386503804,-0.10421995164788157,0,30
1,0.06513816167986579,-0.0842392952410494,0.06726796279164282,1,30
2,-0.0625580741629416,0.07743892981915133,-0.0760678820995731,2,30
0,-0.24766928487597442,0.1453455095158433,-0.10271378287177604,0,31
1,0.06896294529495814,-0.08557806463559783,0.06683770753655974,1,31
2,-0.06635764968024181,0.07864568576855276,-0.07561596892468807,2,31
0,-0.2525215304960237,0.1508371507334158,-0.10394079448814396,0,32
1,0.07142498972532993,-0.08788405611968918,0.06798698434202298,1,32
2,-0.0688045014972764,0.08081963152623887,-0.0767216005256789,2,32
0,-0.2567078927337275,0.15546738362739762,-0.10837074655020457,0,33
1,0.073544654399179,-0.08986923835825403,0.07103436421151832,1,33
2,-0.07093320754905406,0.08270612308140618,-0.07969595553434694,2,33
0,-0.25948559526845116,0.1528275740283971,-0.11259661804337273,0,34
1,0.07494160199516156,-0.08857889933015281,0.07411217939441057,1,34
2,-0.07238270681313783,0.08142304937887507,-0.08269100280918568,2,34
0,-0.253104546018329,0.14810696497399045,-0.11143858849812589,0,35
1,0.07168834723315413,-0.08662449456432252,0.07406403592443343,1,35
2,-0.06922553340421525,0.0795907505093631,-0.08260451897272428,2,35
0,-0.2551873536677594,0.1435636506683607,-0.11469698581242567,0,36
1,0.07273560693033294,-0.08460842807508624,0.07566056760818105,1,36
2,-0.07031325425112786,0.07765045836569079,-0.08419682342974412,2,36
0,-0.253572299212816,0.14387623709553224,-0.11402001608856172,0,37
1,0.07191640635073276,-0.08476194941914544,0.07530307145557841,1,37
2,-0.06949771995170767,0.07780334474971098,-0.08384218501985272,2,37
0,-0.2501752521532091,0.1442922285274847,-0.112810312715514,0,38
1,0.07019120747789208,-0.08496368569204187,0.07466104012669238,1,38
2,-0.06779065768122641,0.0780034414891203,-0.08320550642215852,2,38
0,-0.24729941850423667,0.1443287730697212,-0.1121397160864033,0,39
1,0.06872760596737229,-0.0849588151267168,0.07431184732333401,1,39
2,-0.06635765033116885,0.07799144389379102,-0.08285876558093064,2,39
0,-0.24209552100808193,0.14394159165932105,-0.11162109450302803,0,40
1,0.06607057622798944,-0.08467652524228694,0.07406930160519838,1,40
2,-0.06379825037622215,0.07768146429933052,-0.08261600526053088,2,40
0,-0.23758234504346132,0.14337897210861555,-0.11189719600402412,0,41
1,0.06374671336171639,-0.0842304196397502,0.07430352556840825,1,41
2,-0.06165488174794691,0.07718402467218612,-0.08284227930691589,2,41
0,-0.23686249552006625,0.14511268570591865,-0.11115399313714601,0,42
1,0.06332094192092431,-0.08488395100309915,0.07415076551796577,1,42
2,-0.0615286731447356,0.07777285168758079,-0.0826742635401772,2,42
0,-0.24429233813913553,0.16946277146477545,-0.10174039753255783,0,43
1,0.0670370562500891,-0.09709002449127774,0.06953227287878182,1,43
2,-0.06548588436674155,0.09000579133738608,-0.07806844926353695,2,43
0,-0.23939202467786558,0.15340280099905698,-0.10794908479892257,0,44
1,0.06458611266965772,-0.08903957318429463,0.07257837530798801,1,44
2,-0.06287592660390652,0.08193762059538647,-0.08110618974568384,2,44
0,-0.24456063443065815,0.15077069991929856,-0.10978644281409812,0,45
1,0.06717860812022197,-0.0876529096059323,0.07358352809503355,1,45
2,-0.06559998123974002,0.08052726468000024,-0.08210091038252314,2,45
0,-0.24997699057518813,0.1491440928378031,-0.11120784652727347,0,46
1,0.06992147192157891,-0.08680899620905809,0.0743285190500521,1,46
2,-0.0683524743498956,0.07967273642736998,-0.08284033290015651,2,46
0,-0.25100948002565904,0.14901758205772037,-0.11130918802215724,0,47
1,0.07044875350310927,-0.08674610982949943,0.07437906743540136,1,47
2,-0.06885985293633312,0.07960987434750912,-0.08289068124364593,2,47
0,-0.2511168457689417,0.14901780930802289,-0.11120920090401039,0,48
1,0.07050419087647336,-0.08674698888096781,0.07433223598304026,1,48
2,-0.068910239536496,0.07961099013713495,-0.08284381379588983,2,48
0,-0.251148954673826,0.14904890551926986,-0.11111623537219557,0,49
1,0.07052117824222176,-0.08676178340947553,0.0742971964709851,1,49
2,-0.06892371096930106,0.07962557381237212,-0.08280808836881866,2,49
0,-0.25109599694314216,0.14909363676363727,-0.1111678787854558,0,50
1,0.07049407933254428,-0.08678434663746014,0.0743368591028805,1,50
2,-0.06889789795213958,0.07964822985084619,-0.08284658226693589,2,50
0,-0.25108621415413424,0.14898428119083243,-0.11092953549785199,0,51
1,0.07048810991844014,-0.08673227844265576,0.07422581977829058,1,51
2,-0.06889689943489963,0.07959689064235712,-0.08273541150920609,2,51
0,-0.2510918072405536,0.14904680274462223,-0.11106580283470753,0,52
1,0.07049152279476112,-0.08676204724509272,0.07428930397874868,1,52
2,-0.06889747031435019,0.07962624266350034,-0.08279897085356323,2,52
0,-0.2510474092867835,0.14907821357014983,-0.1111582503377752,0,53
1,0.07046882067369238,-0.08677835899066685,0.07433759420337638,1,53
2,-0.06887576429752286,0.0796427640981335,-0.08284691146810665,2,53
0,-0.2510408328754508,0.14908209788605586,-0.1111867055548587,0,54
1,0.07046539724878295,-0.0867806928722214,0.0743516678353153,1,54
2,-0.06887278658278106,0.0796452218088336,-0.08286093810952566,2,54
0,-0.2510408328754508,0.14908209788605586,-0.1111867055548587,0,55
1,0.07046539724878295,-0.0867806928722214,0.0743516678353153,1,55
2,-0.06887278658278106,0.0796452218088336,-0.08286093810952566,2,55
0,-0.3285078985778582,0.6036071160303867,-0.40399037952774314,0,56
1,0.10972473143819989,-0.31155484662915744,0.21934258181536917,1,56
2,-0.10812387969505956,0.303972742601072,-0.22735500840305733,2,56
0,-0.26322032142587776,0.2205432046696498,-0.15722173944106968,0,57
1,0.07663780880099343,-0.12212002329982798,0.09714735734187047,1,57
2,-0.07504390246045235,0.11491433193016613,-0.10557851310462381,2,57
0,-0.26532265583646014,0.21883682594934625,-0.15794589451065363,0,58
1,0.07770308861987116,-0.12125771166410769,0.09749933833844619,1,58
2,-0.07610972899296625,0.114047990196806,-0.10592977227746847,2,58
0,-0.2844136492847174,0.2081244023899907,-0.16325694321608483,0,59
1,0.08737665070209942,-0.11576982242374577,0.1000608414928976,1,59
2,-0.08578869409945046,0.10851180229400142,-0.10848751391368396,2,59
0,-0.2867570482566263,0.20780362979397954,-0.16208397752396916,0,60
1,0.08856388932708127,-0.11555441013897572,0.09946011327400987,1,60
2,-0.08697748390524816,0.10827915507809968,-0.107890302767679,2,60
0,-0.2895817080580229,0.2078948374814469,-0.15724585429388221,0,61
1,0.08999377666034653,-0.11533936681048261,0.09697833831234996,1,61
2,-0.0884150034645597,0.10798361598083554,-0.10542333815983217,2,61
0,-0.28542592365358094,0.20591776110064178,-0.15920497925505783,0,62
1,0.087886172243668,-0.11414330547244525,0.09788517568228193,1,62
2,-0.08631523570071281,0.10672201102372553,-0.10633170700169489,2,62
0,-0.276685554678655,0.20392409751602772,-0.16306807961373965,0,63
1,0.08345502897278727,-0.11301511653123353,0.09977233485969139,1,63
2,-0.08189305093008513,0.10555180797973604,-0.10821428886286329,2,63
0,-0.2742036868386812,0.20394638520530461,-0.16397395410328822,0,64
1,0.08219690598383866,-0.11302981168526641,0.10022958727581834,1,64
2,-0.08063687997043689,0.10556761657977404,-0.10866933811252547,2,64
0,-0.27358733886718184,0.20399256655752537,-0.16421251036753054,0,65
1,0.08188429941086492,-0.11306096144134334,0.10035507501557103,1,65
2,-0.08032556311050375,0.1056012899889565,-0.10879385639528664,2,65
0,-0.2728885666074377,0.20404153055949265,-0.16452681538834257,0,66
1,0.08152930064040939,-0.11309482098186002,0.10052699102694668,1,66
2,-0.07997491171321776,0.10563808266444472,-0.10896399007192033,2,66
0,-0.27188028072696585,0.20412446460911682,-0.16503143324365668,0,67
1,0.08101529471758594,-0.11314352198323378,0.10082079778039951,1,67
2,-0.07947584630659953,0.10568907837142029,-0.10925356987981784,2,67
0,-0.2711985963469246,0.20428052220972168,-0.16547375885970347,0,68
1,0.08066307608809388,-0.11320812491258361,0.10112143158432434,1,68
2,-0.0791568592529538,0.10574964236635663,-0.10954719180497097,2,68
0,-0.27173266095582066,0.20442545838951576,-0.16527873724084557,0,69
1,0.08092272000641917,-0.11323070083920739,0.10112570709611407,1,69
2,-0.07947055220683039,0.10575690051598807,-0.10954406032370911,2,69
0,-0.2736534472212052,0.2059541005081421,-0.1669022967966082,0,70
1,0.08188276497156018,-0.11392773136017417,0.10197751143112176,1,70
2,-0.08049615197845608,0.10643421746921652,-0.11038943837009578,2,70
0,-0.2750227048211118,0.20506848380322815,-0.16500380339193885,0,71
1,0.0825695805545031,-0.11345129119571133,0.10103559055446065,1,71
2,-0.08121773666880538,0.10594675412545139,-0.10945087878088611,2,71
0,-0.27568136806627663,0.20527785746767452,-0.16371750409064983,0,72
1,0.08290099617890845,-0.11354849920735414,0.10036164016799938,1,72
2,-0.08156080714517153,0.10604179913427664,-0.10878194996668267,2,72
0,-0.27554584331811705,0.20576046726315644,-0.16298279028364848,0,73
1,0.08283038648807511,-0.11379603688682222,0.09996547036942498,1,73
2,-0.08149968101039302,0.10629160562290817,-0.10838950931675494,2,73
0,-0.2747278057462788,0.2061245113544803,-0.1626788885385077,0,74
1,0.08241226044478962,-0.11399577959399294,0.09978628950076009,1,74
2,-0.08109910637488736,0.10649708368072994,-0.10821304583250776,2,74
0,-0.2738725917054221,0.20679202480924527,-0.16285150110315166,0,75
1,0.08197651313938209,-0.11433975542612082,0.09987260028900606,1,75
2,-0.08067492426767871,0.10684469158998218,-0.10829899955675458,2,75
0,-0.2737526845687892,0.2066469499274041,-0.16311477225218218,0,76
1,0.08191544727315493,-0.11426952927140636,0.10000785697188987,1,76
2,-0.08061533731535658,0.10677507688055224,-0.10843343432173272,2,76
0,-0.2737607294811029,0.206578017493584,-0.1632098184702381,0,77
1,0.08191954281579855,-0.11423542216365448,0.10005694790121991,1,77
2,-0.08061934120283025,0.1067410318613917,-0.10848220853193527,2,77
0,-0.27377084718376626,0.2065750740654938,-0.1632140967619555,0,78
1,0.08192468518665436,-0.1142341391274307,0.10005925763732292,1,78
2,-0.0806244095601413,0.10673980505322803,-0.10848449633727415,2,78
0,-0.2510408328754508,0.14908209788605586,-0.1111867055548587,0,79
1,0.07046539724878295,-0.0867806928722214,0.0743516678353153,1,79
2,-0.06887278658278106,0.0796452218088336,-0.08286093810952566,2,79
