,0,1,vars,t
0,0.0,-1.2064252056882743,0,0
1,-7.369867022149027,0.0,1,0
0,0.0,-0.21419740662111164,0,1
1,1.480318834834658,0.0,1,1
0,0.0,-0.0537413093956201,0,2
1,0.3352503165700357,0.0,1,2
0,0.0,-0.001963997628724594,0,3
1,-0.020378404441482607,0.0,1,3
0,0.0,-0.053605561089716064,0,4
1,-0.06503916547615277,0.0,1,4
0,0.0,-0.46001616284329666,0,5
1,-0.06561264392438548,0.0,1,5
0,0.0,-0.9281871405967739,0,6
1,-0.23400778969278985,0.0,1,6
0,0.0,-1.90404093758109,0,7
1,-0.6545638324927393,0.0,1,7
0,0.0,-1.7106073803947672,0,8
1,-0.4981723041452606,0.0,1,8
0,0.0,-1.7206540936373296,0,9
1,-0.35353875402416,0.0,1,9
0,0.0,-1.9406277502183145,0,10
1,-0.33106665697358406,0.0,1,10
0,0.0,-2.2028511787235914,0,11
1,-0.3771650884123265,0.0,1,11
0,0.0,-2.232658371568803,0,12
1,-0.3833912503771169,0.0,1,12
0,0.0,-2.3331225807354974,0,13
1,-0.4037515557971265,0.0,1,13
0,0.0,-2.469544674897636,0,14
1,-0.43081448076596934,0.0,1,14
0,0.0,-2.5999813988000393,0,15
1,-0.4758799470844531,0.0,1,15
0,0.0,0.0,0,16
1,0.0,0.0,1,16
0,0.0,-2.002752621186556,0,17
1,-0.28844250603064264,0.0,1,17
0,0.0,-2.2205999977964215,0,18
1,-0.3519983572743409,0.0,1,18
0,0.0,-2.153583433793382,0,19
1,-0.3643529411203869,0.0,1,19
0,0.0,-2.1543666837642963,0,20
1,-0.36608871796349046,0.0,1,20
0,0.0,-2.1559495911153483,0,21
1,-0.36662957635802845,0.0,1,21
0,0.0,-2.1563802331852124,0,22
1,-0.3667169629597311,0.0,1,22
0,0.0,-2.1563963989514536,0,23
1,-0.36671623308580387,0.0,1,23
0,0.0,-2.1563963989514536,0,24
1,-0.36671623308580387,0.0,1,24
0,0.0,-2.1563963989514536,0,25
1,-0.36671623308580387,0.0,1,25
0,0.0,4.000195848216206,0,26
1,-1.4300592726803236,0.0,1,26
0,0.0,-1.417692753962432,0,27
1,-0.16699591529457733,0.0,1,27
0,0.0,-1.7258844437166538,0,28
1,-0.24212705454952177,0.0,1,28
0,0.0,-1.768844365125508,0,29
1,-0.2537843066255709,0.0,1,29
0,0.0,-1.794698143530708,0,30
1,-0.2611659810938186,0.0,1,30
0,0.0,-1.6879738902087238,0,31
1,-0.23331927403880992,0.0,1,31
0,0.0,-1.7121806322280333,0,32
1,-0.23968656731509605,0.0,1,32
0,0.0,-1.7155628011073758,0,33
1,-0.24056964875983772,0.0,1,33
0,0.0,-1.7155979972006532,0,34
1,-0.24056707802294044,0.0,1,34
0,0.0,-1.715738774743223,0,35
1,-0.24055679361501045,0.0,1,35
0,0.0,-1.7162174572375055,0,36
1,-0.24045570512823572,0.0,1,36
0,0.0,-1.7162174572375055,0,37
1,-0.24045570512823572,0.0,1,37
0,0.0,-2.1563963989514536,0,38
1,-0.36671623308580387,0.0,1,38
0,0.0,3.7964789118149693,0,39
1,-1.792649671395575,0.0,1,39
0,0.0,-0.060307542986570525,0,40
1,-0.00035473384307860723,0.0,1,40
0,0.0,-0.46522664880821385,0,41
1,-0.02034467837486216,0.0,1,41
0,0.0,-1.986511241416417,0,42
1,-0.31457597428164813,0.0,1,42
0,0.0,-1.0120742217087766,0,43
1,-0.09078098953623877,0.0,1,43
0,0.0,-1.1553405193718307,0,44
1,-0.11514785266790817,0.0,1,44
0,0.0,-1.113410121984491,0,45
1,-0.1069238145868792,0.0,1,45
0,0.0,-1.0876573891068222,0,46
1,-0.10057068367515343,0.0,1,46
0,0.0,-1.0854994826739692,0,47
1,-0.09915504153477665,0.0,1,47
0,0.0,-1.098766693510605,0,48
1,-0.10042702432569658,0.0,1,48
0,0.0,-1.1529694013165002,0,49
1,-0.10562867444512385,0.0,1,49
0,0.0,0.0,0,50
1,0.0,0.0,1,50
0,0.0,-1.0944674962167698,0,51
1,-0.0939969254715023,0.0,1,51
0,0.0,-1.1220898934527967,0,52
1,-0.09806718364797856,0.0,1,52
0,0.0,-1.1038115673453948,0,53
1,-0.0948110224875139,0.0,1,53
0,0.0,-1.1005903899329208,0,54
1,-0.09438325833023385,0.0,1,54
0,0.0,-1.0856214603595988,0,55
1,-0.09303827631920725,0.0,1,55
0,0.0,-1.0789513828135053,0,56
1,-0.09330782868460945,0.0,1,56
0,0.0,-1.0808206219840641,0,57
1,-0.0947997551165374,0.0,1,57
0,0.0,-1.084637250184867,0,58
1,-0.09563495001954413,0.0,1,58
0,0.0,-1.0857343968704836,0,59
1,-0.0957798118225461,0.0,1,59
0,0.0,-1.0858101421615536,0,60
1,-0.0957808964861783,0.0,1,60
0,0.0,-1.0858098988525695,0,61
1,-0.09578005534714899,0.0,1,61
0,0.0,-1.0858098988525695,0,62
1,-0.09578005534714899,0.0,1,62
0,0.0,-2.1563963989514536,0,63
1,-0.36671623308580387,0.0,1,63
0,0.0,4.386210690573825,0,64
1,-1.8354154375984706,0.0,1,64
0,0.0,0.21279889484590514,0,65
1,-0.0042064761382220985,0.0,1,65
0,0.0,0.14502927059034176,0,66
1,-0.0019496667055835888,0.0,1,66
0,0.0,-0.12800370435107092,0,67
1,-0.001503962165441078,0.0,1,67
0,0.0,-1.8532666336697659,0,68
1,-0.27641015354135595,0.0,1,68
0,0.0,-0.48105491394341043,0,69
1,-0.02074649611618107,0.0,1,69
0,0.0,-0.7077797200895749,0,70
1,-0.04367107269838548,0.0,1,70
0,0.0,-0.5793230100601124,0,71
1,-0.029725175960229944,0.0,1,71
0,0.0,-0.5849560881589502,0,72
1,-0.030121529997743042,0.0,1,72
0,0.0,-0.6078104692125932,0,73
1,-0.03173998642936446,0.0,1,73
0,0.0,-0.629649328709895,0,74
1,-0.031725437207889194,0.0,1,74
0,0.0,-0.600896953653867,0,75
1,-0.027369342356707547,0.0,1,75
0,0.0,-0.24624053551527308,0,76
1,-0.003979655907182626,0.0,1,76
0,0.0,-0.5612029012998948,0,77
1,-0.02344877513305823,0.0,1,77
0,0.0,-0.5613407793074172,0,78
1,-0.021400647371564965,0.0,1,78
0,0.0,-0.5985076949553639,0,79
1,-0.024622084614222464,0.0,1,79
0,0.0,-0.6101410017196724,0,80
1,-0.025760463369233835,0.0,1,80
0,0.0,0.0,0,81
1,0.0,0.0,1,81
0,0.0,-0.6078264545847717,0,82
1,-0.025548721142393614,0.0,1,82
0,0.0,-0.6065304064549095,0,83
1,-0.025599948152141356,0.0,1,83
0,0.0,-0.6012954301140354,0,84
1,-0.02580258308734873,0.0,1,84
0,0.0,-0.5830591812729248,0,85
1,-0.0260423491022712,0.0,1,85
0,0.0,-0.5831947443286398,0,86
