,0,1,vars,t
0,0.0,0.0,0,0
1,0.0,0.0,1,0
0,0.0,0.7369400483182088,0,1
1,0.7369400483182086,0.0,1,1
0,0.0,1.1379511352412233,0,2
1,0.7659471864402143,0.0,1,2
0,0.0,0.9885982402235296,0,3
1,0.13382557994697977,0.0,1,3
0,0.0,2.3133276507639975,0,4
1,0.4729199434017439,0.0,1,4
0,0.0,1.9731131304224176,0,5
1,0.34360775897467094,0.0,1,5
0,0.0,2.080025787454201,0,6
1,0.37246684152039167,0.0,1,6
0,0.0,2.1093335246248266,0,7
1,0.3801162072955764,0.0,1,7
0,0.0,2.1929975257510175,0,8
1,0.40224948045694797,0.0,1,8
0,0.0,2.309053132162116,0,9
1,0.4333742409926067,0.0,1,9
0,0.0,2.511854675008894,0,10
1,0.48894869448380296,0.0,1,10
0,0.0,0.0,0,11
1,-0.0,0.0,1,11
0,0.0,2.0921121517100634,0,12
1,0.34306064309312545,0.0,1,12
0,0.0,2.187545819173327,0,13
1,0.37212131436615403,0.0,1,13
0,0.0,2.1386797727318516,0,14
1,0.36806673621759384,0.0,1,14
0,0.0,2.1235985862397366,0,15
1,0.3653704345998847,0.0,1,15
0,0.0,2.1224253759361384,0,16
1,0.3648862337354014,0.0,1,16
0,0.0,2.1223326356944328,0,17
1,0.3647898160141189,0.0,1,17
0,0.0,2.1223326356944328,0,18
1,0.3647898160141189,0.0,1,18
0,0.0,2.1223326356944328,0,19
1,0.3647898160141189,0.0,1,19
0,0.0,-3.7654959575888904,0,20
1,1.3092193481664192,0.0,1,20
0,0.0,1.4302277644243429,0,21
1,0.17406904802048212,0.0,1,21
0,0.0,1.7074740819973357,0,22
1,0.24322563511440426,0.0,1,22
0,0.0,1.7455656712281487,0,23
1,0.25374676277367636,0.0,1,23
0,0.0,1.7751446180967838,0,24
1,0.2623708107743657,0.0,1,24
0,0.0,1.6629886769667668,0,25
1,0.23279429126827744,0.0,1,25
0,0.0,1.6895835842029594,0,26
1,0.23986411744706992,0.0,1,26
0,0.0,1.6926306889316016,0,27
1,0.2406707191171157,0.0,1,27
0,0.0,1.6926450763534007,0,28
1,0.24066587478620333,0.0,1,28
0,0.0,1.692702617130655,0,29
1,0.24064649674162764,0.0,1,29
0,0.0,1.69308991610209,0,30
1,0.24058586189865938,0.0,1,30
0,0.0,1.69308991610209,0,31
1,0.24058586189865938,0.0,1,31
0,0.0,2.1223326356944328,0,32
1,0.3647898160141189,0.0,1,32
0,0.0,-3.6871792324765744,0,33
1,1.7635625081481203,0.0,1,33
0,0.0,0.07059439890120697,0,34
1,0.0004998949873143226,0.0,1,34
0,0.0,0.4714746157055523,0,35
1,0.021468332031968778,0.0,1,35
0,0.0,1.9329535138249039,0,36
1,0.3064691488834614,0.0,1,36
0,0.0,1.0059371252477909,0,37
1,0.09207823776291016,0.0,1,37
0,0.0,1.1388408392058933,0,38
1,0.11495908109837373,0.0,1,38
0,0.0,1.1029066249260777,0,39
1,0.10769114493487607,0.0,1,39
0,0.0,1.0727833560357887,0,40
1,0.1000579892733757,0.0,1,40
0,0.0,1.0756308284176994,0,41
1,0.10000637669272469,0.0,1,41
0,0.0,1.1520979311054451,0,42
1,0.11044901161972838,0.0,1,42
0,0.0,0.045156651747207205,0,43
1,0.0001553899503755832,0.0,1,43
0,0.0,1.0628451095315414,0,44
1,0.09339572371265312,0.0,1,44
0,0.0,1.0996253150385227,0,45
1,0.09820521641813766,0.0,1,45
0,0.0,1.0867871227000727,0,46
1,0.09592545398256606,0.0,1,46
0,0.0,1.0824936996477763,0,47
1,0.09522874991797477,0.0,1,47
0,0.0,1.0791840434224265,0,48
1,0.09478821640949008,0.0,1,48
0,0.0,1.0725981289215887,0,49
1,0.09417302813694439,0.0,1,49
0,0.0,1.0674743634736616,0,50
1,0.0941842856524846,0.0,1,50
0,0.0,1.0676190067161346,0,51
1,0.09516942704218662,0.0,1,51
0,0.0,1.0712820467643365,0,52
1,0.09610808077978729,0.0,1,52
0,0.0,1.0729975172415804,0,53
1,0.09636730957343145,0.0,1,53
0,0.0,1.0732138737956112,0,54
1,0.09637918887430662,0.0,1,54
0,0.0,1.0732175110081428,0,55
1,0.09637702612785128,0.0,1,55
0,0.0,1.0732175110081428,0,56
1,0.09637702612785128,0.0,1,56
0,0.0,2.1223326356944328,0,57
